step,nectar,bees_alive
295,15,2
296,15,2
297,15,2
298,15,2
299,15,2
300,15,2
301,15,2
302,15,2
303,15,2
304,15,2
305,15,2
306,15,1
307,15,1
308,15,1
309,15,1
310,15,1
311,15,1
312,15,1
313,15,1
314,15,0
315,15,0
316,15,0
317,15,0
318,15,0
319,15,0
320,15,0
321,15,0
322,15,0
323,15,0
324,15,0
325,15,0
326,15,0
327,15,0
328,15,0
329,15,0
330,15,0
331,15,0
332,15,0
333,15,0
334,15,0
335,15,0
336,15,0
337,15,0
338,15,0
339,15,0
340,15,0
341,15,0
342,15,0
343,15,0
344,15,0
345,15,0
346,15,0
347,15,0
348,15,0
349,15,0
350,15,0
351,15,0
352,15,0
353,15,0
354,15,0
355,15,0
356,15,0
357,15,0
358,15,0
359,15,0
360,15,0
361,15,0
362,15,0
363,15,0
364,15,0
365,15,0
366,15,0
367,15,0
368,15,0
369,15,0
370,15,0
371,15,0
372,15,0
373,15,0
374,15,0
375,15,0
376,15,0
377,15,0
378,15,0
379,15,0
380,15,0
381,15,0
382,15,0
383,15,0
384,15,0
385,15,0
386,15,0
387,15,0
388,15,0
389,15,0
390,15,0
391,15,0
392,15,0
393,15,0
394,15,0
395,15,0
396,15,0
397,15,0
398,15,0
399,15,0
400,15,0
401,15,0
402,15,0
403,15,0
404,15,0
405,15,0
406,15,0
407,15,0
408,15,0
409,15,0
410,15,0
411,15,0
412,15,0
413,15,0
414,15,0
415,15,0
416,15,0
417,15,0
418,15,0
419,15,0
420,15,0
421,15,0
422,15,0
423,15,0
424,15,0
425,15,0
426,15,0
427,15,0
428,15,0
429,15,0
430,15,0
431,15,0
432,15,0
433,15,0
434,15,0
435,15,0
436,15,0
437,15,0
438,15,0
439,15,0
440,15,0
441,15,0
442,15,0
443,15,0
444,15,0
445,15,0
446,15,0
447,15,0
448,15,0
449,15,0
450,15,0
451,15,0
452,15,0
453,15,0
454,15,0
455,15,0
456,15,0
457,15,0
458,15,0
459,15,0
460,15,0
461,15,0
462,15,0
463,15,0
464,15,0
465,15,0
466,15,0
467,15,0
468,15,0
469,15,0
470,15,0
471,15,0
472,15,0
473,15,0
474,15,0
475,15,0
476,15,0
477,15,0
478,15,0
479,15,0
480,15,0
481,15,0
482,15,0
483,15,0
484,15,0
485,15,0
486,15,0
487,15,0
488,15,0
489,15,0
490,15,0
491,15,0
492,15,0
493,15,0
494,15,0
495,15,0
496,15,0
497,15,0
498,15,0
499,15,0
